"Notes"	"State"	"State Code"	"Year"	"Year Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate
	"Arkansas"	"05"	"2016"	"2016"	38274	2988248	12.81	576758	66.36
	"Arkansas"	"05"	"2017"	"2017"	37520	3004279	12.49	577447	64.98
"Total"	"Arkansas"	"05"			428480	32319548	13.26	6299593	68.02
	"California"	"06"	"2007"	"2007"	566414	36250311	15.63	7803744	72.58
	"California"	"06"	"2008"	"2008"	551779	36604337	15.07	7828450	70.48
	"California"	"06"	"2009"	"2009"	527020	36961229	14.26	7851872	67.12
	"California"	"06"	"2010"	"2010"	510198	37253956	13.70	7876871	64.77
	"California"	"06"	"2011"	"2011"	502120	37691912	13.32	7916936	63.42
	"California"	"06"	"2012"	"2012"	503755	38041430	13.24	7959596	63.29
	"California"	"06"	"2013"	"2013"	494705	38332521	12.91	7982855	61.97
	"California"	"06"	"2014"	"2014"	502879	38802500	12.96	8061479	62.38
	"California"	"06"	"2015"	"2015"	491748	39144818	12.56	8084612	60.83
	"California"	"06"	"2016"	"2016"	488827	39250017	12.45	8062336	60.63
	"California"	"06"	"2017"	"2017"	471658	39536653	11.93	8104632	58.20
"Total"	"California"	"06"			5611103	417869684	13.43	87533383	64.10
	"Colorado"	"08"	"2007"	"2007"	70809	4803868	14.74	1004684	70.48
	"Colorado"	"08"	"2008"	"2008"	70031	4889730	14.32	1012966	69.13
	"Colorado"	"08"	"2009"	"2009"	68628	4972195	13.80	1020625	67.24
	"Colorado"	"08"	"2010"	"2010"	66355	5029196	13.19	1025085	64.73
	"Colorado"	"08"	"2011"	"2011"	65055	5116796	12.71	1038317	62.65
	"Colorado"	"08"	"2012"	"2012"	65187	5187582	12.57	1050616	62.05
	"Colorado"	"08"	"2013"	"2013"	65007	5268367	12.34	1065777	60.99
	"Colorado"	"08"	"2014"	"2014"	65830	5355866	12.29	1084623	60.69
	"Colorado"	"08"	"2015"	"2015"	66581	5456574	12.20	1106534	60.17
	"Colorado"	"08"	"2016"	"2016"	66613	5540545	12.02	1123134	59.31
	"Colorado"	"08"	"2017"	"2017"	64382	5607154	11.48	1137745	56.59
"Total"	"Colorado"	"08"			734478	57227873	12.83	11670106	62.94
	"Connecticut"	"09"	"2007"	"2007"	41660	3527270	11.81	701587	59.38
	"Connecticut"	"09"	"2008"	"2008"	40399	3545579	11.39	699195	57.78
	"Connecticut"	"09"	"2009"	"2009"	38896	3561807	10.92	694930	55.97
	"Connecticut"	"09"	"2010"	"2010"	37708	3574097	10.55	691265	54.55
	"Connecticut"	"09"	"2011"	"2011"	37281	3580709	10.41	686640	54.29
	"Connecticut"	"09"	"2012"	"2012"	36539	3590347	10.18	686665	53.21
	"Connecticut"	"09"	"2013"	"2013"	36085	3596080	10.03	684995	52.68
	"Connecticut"	"09"	"2014"	"2014"	36285	3596677	10.09	684158	53.04
	"Connecticut"	"09"	"2015"	"2015"	35746	3590886	9.95	680629	52.52
	"Connecticut"	"09"	"2016"	"2016"	36015	3576452	10.07	674231	53.42
	"Connecticut"	"09"	"2017"	"2017"	35221	3588184	9.82	672949	52.34
"Total"	"Connecticut"	"09"			411835	39328088	10.47	7557244	54.50
	"Delaware"	"10"	"2007"	"2007"	12170	871749	13.96	179779	67.69
	"Delaware"	"10"	"2008"	"2008"	12090	883874	13.68	179986	67.17
	"Delaware"	"10"	"2009"	"2009"	11559	891730	12.96	179610	64.36
	"Delaware"	"10"	"2010"	"2010"	11364	897934	12.66	179232	63.40
	"Delaware"	"10"	"2011"	"2011"	11257	907135	12.41	178901	62.92
	"Delaware"	"10"	"2012"	"2012"	11023	917092	12.02	179542	61.40
	"Delaware"	"10"	"2013"	"2013"	10831	925749	11.70	179522	60.33
	"Delaware"	"10"	"2014"	"2014"	10972	935614	11.73	180400	60.82
	"Delaware"	"10"	"2015"	"2015"	11166	945934	11.80	180812	61.75
	"Delaware"	"10"	"2016"	"2016"	10992	952065	11.55	179716	61.16
	"Delaware"	"10"	"2017"	"2017"	10855	961939	11.28	180343	60.19
"Total"	"Delaware"	"10"			124279	10090815	12.32	1977843	62.84
	"District of Columbia"	"11"	"2007"	"2007"	8864	574404	15.43	149303	59.37
	"District of Columbia"	"11"	"2008"	"2008"	9130	580236	15.73	152846	59.73
	"District of Columbia"	"11"	"2009"	"2009"	9040	592228	15.26	157384	57.44
	"District of Columbia"	"11"	"2010"	"2010"	9165	601723	15.23	162314	56.46
	"District of Columbia"	"11"	"2011"	"2011"	9295	617996	15.04	166081	55.97
	"District of Columbia"	"11"	"2012"	"2012"	9399	632323	14.86	170060	55.27
	"District of Columbia"	"11"	"2013"	"2013"	9288	646449	14.37	174288	53.29
	"District of Columbia"	"11"	"2014"	"2014"	9509	658893	14.43	177568	53.55
	"District of Columbia"	"11"	"2015"	"2015"	9578	672228	14.25	181381	52.81
	"District of Columbia"	"11"	"2016"	"2016"	9858	681170	14.47	183414	53.75
	"District of Columbia"	"11"	"2017"	"2017"	9560	693972	13.78	186464	51.27
"Total"	"District of Columbia"	"11"			102686	6951622	14.77	1861103	55.17
	"Florida"	"12"	"2007"	"2007"	239165	18367842	13.02	3578652	66.83
	"Florida"	"12"	"2008"	"2008"	231445	18527305	12.49	3575057	64.74
	"Florida"	"12"	"2009"	"2009"	221394	18652644	11.87	3561023	62.17
	"Florida"	"12"	"2010"	"2010"	214590	18801310	11.41	3560982	60.26
	"Florida"	"12"	"2011"	"2011"	213414	19057542	11.20	3578464	59.64
	"Florida"	"12"	"2012"	"2012"	213148	19317568	11.03	3612609	59.00
	"Florida"	"12"	"2013"	"2013"	215407	19552860	11.02	3634590	59.27
	"Florida"	"12"	"2014"	"2014"	219991	19893297	11.06	3687140	59.66
	"Florida"	"12"	"2015"	"2015"	224269	20271272	11.06	3740217	59.96
	"Florida"	"12"	"2016"	"2016"	225022	20612439	10.92	3771259	59.67
	"Florida"	"12"	"2017"	"2017"	223630	20984400	10.66	3828199	58.42
"Total"	"Florida"	"12"			2441475	214038479	11.41	40128192	60.84
	"Georgia"	"13"	"2007"	"2007"	151137	9349988	16.16	2054423	73.57
	"Georgia"	"13"	"2008"	"2008"	146603	9504843	15.42	2070606	70.80
	"Georgia"	"13"	"2009"	"2009"	141377	9620846	14.69	2074589	68.15
	"Georgia"	"13"	"2010"	"2010"	133947	9687653	13.83	2073006	64.61
	"Georgia"	"13"	"2011"	"2011"	132409	9815210	13.49	2076093	63.78
	"Georgia"	"13"	"2012"	"2012"	130280	9919945	13.13	2088555	62.38
	"Georgia"	"13"	"2013"	"2013"	128748	9992167	12.88	2089387	61.62
	"Georgia"	"13"	"2014"	"2014"	130946	10097343	12.97	2104573	62.22
	"Georgia"	"13"	"2015"	"2015"	131404	10214860	12.86	2119884	61.99
	"Georgia"	"13"	"2016"	"2016"	130042	10310371	12.61	2128754	61.09
	"Georgia"	"13"	"2017"	"2017"	129243	10429379	12.39	2147399	60.19
"Total"	"Georgia"	"13"			1486136	108942605	13.64	23027269	64.54
	"Hawaii"	"15"	"2007"	"2007"	19134	1315675	14.54	259500	73.73
	"Hawaii"	"15"	"2008"	"2008"	19484	1332213	14.63	260557	74.78
	"Hawaii"	"15"	"2009"	"2009"	18887	1346717	14.02	261245	72.30
	"Hawaii"	"15"	"2010"	"2010"	18988	1360301	13.96	262107	72.44
	"Hawaii"	"15"	"2011"	"2011"	18956	1374810	13.79	263598	71.91
	"Hawaii"	"15"	"2012"	"2012"	18980	1392313	13.63	265029	71.61
	"Hawaii"	"15"	"2013"	"2013"	18987	1404054	13.52	265474	71.52
	"Hawaii"	"15"	"2014"	"2014"	18550	1419561	13.07	267712	69.29
	"Hawaii"	"15"	"2015"	"2015"	18420	1431603	12.87	268188	68.68
	"Hawaii"	"15"	"2016"	"2016"	18059	1428557	12.64	267210	67.58
	"Hawaii"	"15"	"2017"	"2017"	17517	1427538	12.27	265924	65.87
"Total"	"Hawaii"	"15"			205962	15233342	13.52	2906544	70.86
	"Idaho"	"16"	"2007"	"2007"	25019	1505105	16.62	301581	82.96
	"Idaho"	"16"	"2008"	"2008"	25149	1534320	16.39	304773	82.52
	"Idaho"	"16"	"2009"	"2009"	23737	1554439	15.27	305968	77.58
	"Idaho"	"16"	"2010"	"2010"	23198	1567582	14.80	306303	75.74
	"Idaho"	"16"	"2011"	"2011"	22305	1584985	14.07	308675	72.26
	"Idaho"	"16"	"2012"	"2012"	22963	1595728	14.39	309836	74.11
	"Idaho"	"16"	"2013"	"2013"	22383	1612136	13.88	311712	71.81
	"Idaho"	"16"	"2014"	"2014"	22876	1634464	14.00	314852	72.66
	"Idaho"	"16"	"2015"	"2015"	22827	1654930	13.79	317807	71.83
	"Idaho"	"16"	"2016"	"2016"	22482	1683140	13.36	322092	69.80
	"Idaho"	"16"	"2017"	"2017"	22181	1716943	12.92	328941	67.43
"Total"	"Idaho"	"16"			255120	17643772	14.46	3432540	74.32
	"Illinois"	"17"	"2007"	"2007"	180836	12695866	14.24	2655310	68.10
	"Illinois"	"17"	"2008"	"2008"	176795	12747038	13.87	2648509	66.75
	"Illinois"	"17"	"2009"	"2009"	171163	12796778	13.38	2641171	64.81
	"Illinois"	"17"	"2010"	"2010"	165200	12830632	12.88	2631753	62.77
	"Illinois"	"17"	"2011"	"2011"	161312	12869257	12.53	2622664	61.51
	"Illinois"	"17"	"2012"	"2012"	159160	12875255	12.36	2613073	60.91
	"Illinois"	"17"	"2013"	"2013"	156931	12882135	12.18	2603359	60.28
	"Illinois"	"17"	"2014"	"2014"	158556	12880580	12.31	2596483	61.07
	"Illinois"	"17"	"2015"	"2015"	158116	12859995	12.30	2577634	61.34
	"Illinois"	"17"	"2016"	"2016"	154445	12801539	12.06	2549621	60.58
	"Illinois"	"17"	"2017"	"2017"	149390	12802023	11.67	2532027	59.00
"Total"	"Illinois"	"17"			1791904	141041098	12.70	28671604	62.50
	"Indiana"	"18"	"2007"	"2007"	89864	6379599	14.09	1297846	69.24
	"Indiana"	"18"	"2008"	"2008"	88742	6424806	13.81	1295656	68.49
	"Indiana"	"18"	"2009"	"2009"	86673	6459325	13.42	1290807	67.15
	"Indiana"	"18"	"2010"	"2010"	83940	6483802	12.95	1287393	65.20
	"Indiana"	"18"	"2011"	"2011"	83701	6516922	12.84	1287382	65.02
	"Indiana"	"18"	"2012"	"2012"	83227	6537334	12.73	1286576	64.69
	"Indiana"	"18"	"2013"	"2013"	83102	6570902	12.65	1292138	64.31
	"Indiana"	"18"	"2014"	"2014"	84080	6596855	12.75	1295431	64.91
	"Indiana"	"18"	"2015"	"2015"	84040	6619680	12.70	1296510	64.82
	"Indiana"	"18"	"2016"	"2016"	83091	6633053	12.53	1293192	64.25
	"Indiana"	"18"	"2017"	"2017"	82170	6666818	12.33	1295622	63.42
"Total"	"Indiana"	"18"			932630	71889096	12.97	14218553	65.59
	"Iowa"	"19"	"2007"	"2007"	40886	2999212	13.63	581579	70.30
	"Iowa"	"19"	"2008"	"2008"	40224	3016734	13.33	579260	69.44
	"Iowa"	"19"	"2009"	"2009"	39701	3032870	13.09	577301	68.77
	"Iowa"	"19"	"2010"	"2010"	38719	3046355	12.71	576692	67.14
	"Iowa"	"19"	"2011"	"2011"	38214	3062309	12.48	578260	66.08
	"Iowa"	"19"	"2012"	"2012"	38702	3074186	12.59	579691	66.76
	"Iowa"	"19"	"2013"	"2013"	39094	3090416	12.65	582884	67.07
	"Iowa"	"19"	"2014"	"2014"	39687	3107126	12.77	585645	67.77
	"Iowa"	"19"	"2015"	"2015"	39482	3123899	12.64	588384	67.10
	"Iowa"	"19"	"2016"	"2016"	39403	3134693	12.57	589319	66.86
	"Iowa"	"19"	"2017"	"2017"	38430	3145711	12.22	592278	64.89
"Total"	"Iowa"	"19"			432542	33833511	12.78	6411293	67.47
	"Kansas"	"20"	"2007"	"2007"	42004	2783785	15.09	555015	75.68
	"Kansas"	"20"	"2008"	"2008"	41833	2808076	14.90	553668	75.56
	"Kansas"	"20"	"2009"	"2009"	41396	2832704	14.61	553570	74.78
	"Kansas"	"20"	"2010"	"2010"	40649	2853118	14.25	554584	73.30
	"Kansas"	"20"	"2011"	"2011"	39642	2871238	13.81	556582	71.22
	"Kansas"	"20"	"2012"	"2012"	40341	2885905	13.98	557854	72.31
	"Kansas"	"20"	"2013"	"2013"	38839	2893957	13.42	558538	69.54
	"Kansas"	"20"	"2014"	"2014"	39223	2904021	13.51	560331	70.00
	"Kansas"	"20"	"2015"	"2015"	39154	2911641	13.45	560142	69.90
	"Kansas"	"20"	"2016"	"2016"	38053	2907289	13.09	558638	68.12
	"Kansas"	"20"	"2017"	"2017"	36519	2913123	12.54	558606	65.38
"Total"	"Kansas"	"20"			437653	31564857	13.87	6127528	71.42
	"Kentucky"	"21"	"2007"	"2007"	59368	4256672	13.95	863480	68.75
	"Kentucky"	"21"	"2008"	"2008"	58375	4289878	13.61	861979	67.72
	"Kentucky"	"21"	"2009"	"2009"	57551	4317074	13.33	856504	67.19
	"Kentucky"	"21"	"2010"	"2010"	55784	4339367	12.86	854846	65.26
	"Kentucky"	"21"	"2011"	"2011"	55370	4369356	12.67	855511	64.72
	"Kentucky"	"21"	"2012"	"2012"	55758	4380415	12.73	851982	65.45
	"Kentucky"	"21"	"2013"	"2013"	55686	4395295	12.67	852992	65.28
	"Kentucky"	"21"	"2014"	"2014"	56170	4413457	12.73	853601	65.80
	"Kentucky"	"21"	"2015"	"2015"	55971	4425092	12.65	851631	65.72
	"Kentucky"	"21"	"2016"	"2016"	55449	4436974	12.50	848442	65.35
	"Kentucky"	"21"	"2017"	"2017"	54752	4454189	12.29	848472	64.53
"Total"	"Kentucky"	"21"			620234	48077769	12.90	9399440	65.99
	"Louisiana"	"22"	"2007"	"2007"	66301	4375581	15.15	915760	72.40
	"Louisiana"	"22"	"2008"	"2008"	65268	4435586	14.71	920542	70.90
	"Louisiana"	"22"	"2009"	"2009"	64973	4491648	14.47	924981	70.24
	"Louisiana"	"22"	"2010"	"2010"	62379	4533372	13.76	928335	67.19
	"Louisiana"	"22"	"2011"	"2011"	61888	4574836	13.53	932079	66.40
	"Louisiana"	"22"	"2012"	"2012"	62642	4601893	13.61	934760	67.01
	"Louisiana"	"22"	"2013"	"2013"	63201	4625470	13.66	938719	67.33
	"Louisiana"	"22"	"2014"	"2014"	64497	4649676	13.87	942656	68.42
	"Louisiana"	"22"	"2015"	"2015"	64692	4670724	13.85	943958	68.53
	"Louisiana"	"22"	"2016"	"2016"	63178	4681666	13.49	940460	67.18
	"Louisiana"	"22"	"2017"	"2017"	61018	4684333	13.03	936106	65.18
"Total"	"Louisiana"	"22"			700037	50324785	13.91	10258356	68.24
	"Maine"	"23"	"2007"	"2007"	14120	1327040	10.64	252918	55.83
	"Maine"	"23"	"2008"	"2008"	13609	1330509	10.23	249522	54.54
	"Maine"	"23"	"2009"	"2009"	13470	1329590	10.13	245110	54.95
	"Maine"	"23"	"2010"	"2010"	12970	1328361	9.76	241923	53.61
	"Maine"	"23"	"2011"	"2011"	12704	1328188	9.56	239185	53.11
	"Maine"	"23"	"2012"	"2012"	12798	1329192	9.63	237226	53.95
	"Maine"	"23"	"2013"	"2013"	12776	1328302	9.62	234970	54.37
	"Maine"	"23"	"2014"	"2014"	12698	1330089	9.55	233832	54.30
	"Maine"	"23"	"2015"	"2015"	12607	1329328	9.48	232112	54.31
	"Maine"	"23"	"2016"	"2016"	12705	1331479	9.54	231340	54.92
	"Maine"	"23"	"2017"	"2017"	12298	1335907	9.21	231535	53.12
"Total"	"Maine"	"23"			142755	14627985	9.76	2629673	54.29
	"Maryland"	"24"	"2007"	"2007"	78095	5653408	13.81	1202376	64.95
	"Maryland"	"24"	"2008"	"2008"	77289	5684965	13.60	1196743	64.58
	"Maryland"	"24"	"2009"	"2009"	75059	5730388	13.10	1192380	62.95
	"Maryland"	"24"	"2010"	"2010"	73801	5773552	12.78	1193402	61.84
	"Maryland"	"24"	"2011"	"2011"	73093	5828289	12.54	1192668	61.29
	"Maryland"	"24"	"2012"	"2012"	72883	5884563	12.39	1198632	60.81
	"Maryland"	"24"	"2013"	"2013"	71953	5928814	12.14	1197064	60.11
	"Maryland"	"24"	"2014"	"2014"	73921	5976407	12.37	1201916	61.50
	"Maryland"	"24"	"2015"	"2015"	73616	6006401	12.26	1200564	61.32
	"Maryland"	"24"	"2016"	"2016"	73136	6016447	12.16	1193439	61.28
	"Maryland"	"24"	"2017"	"2017"	71641	6052177	11.84	1193286	60.04
"Total"	"Maryland"	"24"			814487	64535411	12.62	13162470	61.88
	"Massachusetts"	"25"	"2007"	"2007"	77967	6431559	12.12	1358274	57.40
	"Massachusetts"	"25"	"2008"	"2008"	77022	6468967	11.91	1355631	56.82
	"Massachusetts"	"25"	"2009"	"2009"	75016	6517613	11.51	1353825	55.41
	"Massachusetts"	"25"	"2010"	"2010"	72865	6547629	11.13	1350576	53.95
	"Massachusetts"	"25"	"2011"	"2011"	73166	6587536	11.11	1347056	54.32
	"Massachusetts"	"25"	"2012"	"2012"	72439	6646144	10.90	1353528	53.52
	"Massachusetts"	"25"	"2013"	"2013"	71788	6692824	10.73	1358679	52.84
	"Massachusetts"	"25"	"2014"	"2014"	71908	6745408	10.66	1369202	52.52
	"Massachusetts"	"25"	"2015"	"2015"	71492	6794422	10.52	1373958	52.03
	"Massachusetts"	"25"	"2016"	"2016"	71317	6811779	10.47	1373070	51.94
	"Massachusetts"	"25"	"2017"	"2017"	70702	6859819	10.31	1381812	51.17
"Total"	"Massachusetts"	"25"			805682	73103700	11.02	14975611	53.80
	"Michigan"	"26"	"2007"	"2007"	125261	10001284	12.52	2009754	62.33
	"Michigan"	"26"	"2008"	"2008"	121127	9946889	12.18	1973631	61.37
	"Michigan"	"26"	"2009"	"2009"	117294	9901591	11.85	1938741	60.50
	"Michigan"	"26"	"2010"	"2010"	114531	9883640	11.59	1918594	59.70
	"Michigan"	"26"	"2011"	"2011"	114008	9876187	11.54	1904783	59.85
	"Michigan"	"26"	"2012"	"2012"	113091	9883360	11.44	1896731	59.62
	"Michigan"	"26"	"2013"	"2013"	113489	9895622	11.47	1890426	60.03
	"Michigan"	"26"	"2014"	"2014"	114375	9909877	11.54	1887778	60.59
	"Michigan"	"26"	"2015"	"2015"	113312	9922576	11.42	1880657	60.25
	"Michigan"	"26"	"2016"	"2016"	113315	9928300	11.41	1873985	60.47
	"Michigan"	"26"	"2017"	"2017"	111426	9962311	11.18	1874298	59.45
"Total"	"Michigan"	"26"			1271229	109111637	11.65	21049378	60.39
	"Minnesota"	"27"	"2007"	"2007"	73735	5207203	14.16	1062063	69.43
	"Minnesota"	"27"	"2008"	"2008"	72421	5247018	13.80	1056396	68.55
	"Minnesota"	"27"	"2009"	"2009"	70646	5281203	13.38	1050519	67.25
	"Minnesota"	"27"	"2010"	"2010"	68610	5303925	12.94	1045681	65.61
	"Minnesota"	"27"	"2011"	"2011"	68409	5344861	12.80	1044201	65.51
	"Minnesota"	"27"	"2012"	"2012"	68772	5379139	12.78	1046298	65.73
	"Minnesota"	"27"	"2013"	"2013"	69159	5420380	12.76	1049636	65.89
	"Minnesota"	"27"	"2014"	"2014"	69904	5457173	12.81	1053340	66.36
	"Minnesota"	"27"	"2015"	"2015"	69834	5489594	12.72	1054063	66.25
	"Minnesota"	"27"	"2016"	"2016"	69749	5519952	12.64	1054708	66.13
	"Minnesota"	"27"	"2017"	"2017"	68595	5576606	12.30	1066806	64.30
"Total"	"Minnesota"	"27"			769834	59227054	13.00	11583711	66.46
	"Mississippi"	"28"	"2007"	"2007"	46491	2928350	15.88	609676	76.26
	"Mississippi"	"28"	"2008"	"2008"	44947	2947806	15.25	608503	73.86
	"Mississippi"	"28"	"2009"	"2009"	42901	2958774	14.50	605971	70.80
	"Mississippi"	"28"	"2010"	"2010"	40036	2967297	13.49	604036	66.28
	"Mississippi"	"28"	"2011"	"2011"	39860	2978512	13.38	603540	66.04
	"Mississippi"	"28"	"2012"	"2012"	38669	2984926	12.95	602305	64.20
	"Mississippi"	"28"	"2013"	"2013"	38634	2991207	12.92	601690	64.21
	"Mississippi"	"28"	"2014"	"2014"	38736	2994079	12.94	601260	64.42
	"Mississippi"	"28"	"2015"	"2015"	38394	2992333	12.83	599445	64.05
	"Mississippi"	"28"	"2016"	"2016"	37928	2988726	12.69	595586	63.68
	"Mississippi"	"28"	"2017"	"2017"	37357	2984100	12.52	591744	63.13
"Total"	"Mississippi"	"28"			443953	32716110	13.57	6623756	67.02
	"Missouri"	"29"	"2007"	"2007"	81930	5887612	13.92	1189397	68.88
	"Missouri"	"29"	"2008"	"2008"	80963	5923916	13.67	1184136	68.37
	"Missouri"	"29"	"2009"	"2009"	78905	5961088	13.24	1179940	66.87
	"Missouri"	"29"	"2010"	"2010"	76759	5988927	12.82	1176684	65.23
	"Missouri"	"29"	"2011"	"2011"	76117	6010688	12.66	1174879	64.79
	"Missouri"	"29"	"2012"	"2012"	75446	6021988	12.53	1172699	64.34
	"Missouri"	"29"	"2013"	"2013"	75296	6044171	12.46	1174457	64.11
	"Missouri"	"29"	"2014"	"2014"	75360	6063589	12.43	1176158	64.07
	"Missouri"	"29"	"2015"	"2015"	75061	6083672	12.34	1176557	63.80
	"Missouri"	"29"	"2016"	"2016"	74705	6093000	12.26	1171335	63.78
	"Missouri"	"29"	"2017"	"2017"	73034	6113532	11.95	1171775	62.33
"Total"	"Missouri"	"29"			843576	66192183	12.74	12948017	65.15
	"Montana"	"30"	"2007"	"2007"	12439	964706	12.89	180948	68.74
	"Montana"	"30"	"2008"	"2008"	12594	976415	12.90	181076	69.55
	"Montana"	"30"	"2009"	"2009"	12257	983982	12.46	179917	68.13
	"Montana"	"30"	"2010"	"2010"	12060	989415	12.19	179670	67.12
	"Montana"	"30"	"2011"	"2011"	12069	998199	12.09	180934	66.70
	"Montana"	"30"	"2012"	"2012"	12118	1005141	12.06	181884	66.62
	"Montana"	"30"	"2013"	"2013"	12377	1015165	12.19	184153	67.21
	"Montana"	"30"	"2014"	"2014"	12432	1023579	12.15	185661	66.96
	"Montana"	"30"	"2015"	"2015"	12583	1032949	12.18	186922	67.32
	"Montana"	"30"	"2016"	"2016"	12282	1042520	11.78	187978	65.34
	"Montana"	"30"	"2017"	"2017"	11799	1050493	11.23	190089	62.07
"Total"	"Montana"	"30"			135010	11082564	12.18	2019232	66.86
	"Nebraska"	"31"	"2007"	"2007"	26934	1783440	15.10	354570	75.96
	"Nebraska"	"31"	"2008"	"2008"	26989	1796378	15.02	353716	76.30
	"Nebraska"	"31"	"2009"	"2009"	26936	1812683	14.86	354073	76.07
	"Nebraska"	"31"	"2010"	"2010"	25918	1826341	14.19	355031	73.00
	"Nebraska"	"31"	"2011"	"2011"	25720	1842641	13.96	357237	72.00
	"Nebraska"	"31"	"2012"	"2012"	25942	1855525	13.98	358575	72.35
	"Nebraska"	"31"	"2013"	"2013"	26095	1868516	13.97	361532	72.18
	"Nebraska"	"31"	"2014"	"2014"	26794	1881503	14.24	364075	73.59
	"Nebraska"	"31"	"2015"	"2015"	26679	1896190	14.07	366370	72.82
	"Nebraska"	"31"	"2016"	"2016"	26589	1907116	13.94	368163	72.22
	"Nebraska"	"31"	"2017"	"2017"	25821	1920076	13.45	370172	69.75
"Total"	"Nebraska"	"31"			290417	20390409	14.24	3963514	73.27
	"Nevada"	"32"	"2007"	"2007"	41181	2601072	15.83	538777	76.43
	"Nevada"	"32"	"2008"	"2008"	39506	2653630	14.89	548040	72.09
	"Nevada"	"32"	"2009"	"2009"	37612	2684665	14.01	549912	68.40
	"Nevada"	"32"	"2010"	"2010"	35934	2700551	13.31	549924	65.34
	"Nevada"	"32"	"2011"	"2011"	35296	2723322	12.96	549361	64.25
	"Nevada"	"32"	"2012"	"2012"	34911	2758931	12.65	554337	62.98
	"Nevada"	"32"	"2013"	"2013"	35030	2790136	12.55	557449	62.84
	"Nevada"	"32"	"2014"	"2014"	35861	2839099	12.63	566250	63.33
	"Nevada"	"32"	"2015"	"2015"	36298	2890845	12.56	573825	63.26
	"Nevada"	"32"	"2016"	"2016"	36260	2940058	12.33	579645	62.56
